asin,title,price,num_of_ratings,average_rating,main_image,all_images,product_description,about_product,product_information
B09R1MMMTH,"HP Laptop 15s, AMD Ryzen 3 5300U, 15.6-inch (39.6 cm), FHD, 8GB DDR4, 512GB SSD, AMD Radeon Graphics, Thin & Light, Dual Speakers (Win 11, MSO 2019, Silver, 1.69 kg), eq2143AU","32,490",1308.0,4.1,https://m.media-amazon.com/images/I/71-oBEGEnOL._SL1500_.jpg,"[""https://m.media-amazon.com/images/I/71-oBEGEnOL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/71RCOuDU5fL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/716yR0T86iL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/81txq9GdORL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/81JxSlH7iGL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/71ogkzaA5jL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/81EYWncWugL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/71-kOZB7feL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/81JyDFlHRrL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/81WbQF-7fiL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/81tm3HiVvlL._SL1500_.jpg""]",,"['【4-core AMD Ryzen 3 5300U】8 threads and 4MB L3 cache deliver powerful performance and swift responsiveness. The AMD Radeon graphics help you experience crisp visuals with vivid clarity.', '【Upgraded memory and storage】8GB DDR4 RAM integrates a higher-bandwidth memory for smooth functioning. The high-speed 512GB PCIe NVMe M.2 SSD creates more room to work with ample of storage.', '【Micro-edge display】The 15.6-inch, FHD, 250-nit, anti-glare, and micro-edge display is engineered for high-quality viewing with stunning clarity.', '【Effortless connectivity】Wi-Fi 5 (1x1) and Bluetooth 4.2 ensure an uninterrupted and seamless experience. Enjoy effortless connectivity with 1 x USB Type-C, 2 x USB Type-A, and 1 x HDMI 1.4b ports.', '【Long battery life】Fast charge your battery from 0% to 50% in 45 mins. The durable 41Wh battery enables you to maximize productivity and work through tasks without interruption.', '【Business conferencing】HP True Vision 720p HD camera with integrated dual array mics, and dual speakers deliver a high-resolution, crystal-clear collaboration experience.', '【Why HP】Experience the unparalleled advantages of choosing HP, the most preferred and trusted PC brand by Indians, which empowers you with cutting-edge technology and steadfast dependability.', '【Pre-loaded Win 11 and MS Office】Comes with Win 11 and MS Office 2021. To activate your MS Office, sign in/up, follow the Office Activation Wizard', '【Sustainably made】Make an environmentally conscious choice with a thoughtfully designed laptop that contains recycled plastics and is EPEAT Silver registered and ENERGY STAR certified.', '【Reliable design】A sleek yet sturdy laptop that delivers rock-solid performance all day long with power-packed features, optimized heat management, and 1-year on-site standard warranty.']","""HP"""
B0CR496TBN,"(Refurbished) Lenovo ThinkPad 6th Gen Intel Core i5 Thin & Light HD Laptop (16GB RAM / 512GB SSD /14"" (35.6 cm) HD/Windows 11/MS Office/WiFi/Webcam/Intel Graphics), Black","₹16,499",635.0,3.5,https://m.media-amazon.com/images/I/61vGumezioL._SL1300_.jpg,"[""https://m.media-amazon.com/images/I/61vGumezioL._SL1300_.jpg"", ""https://m.media-amazon.com/images/I/41X6xBqvnVL._SL1200_.jpg"", ""https://m.media-amazon.com/images/I/419sVNFK33L._SL1200_.jpg"", ""https://m.media-amazon.com/images/I/41UtXudgXFL._SL1200_.jpg""]",,"['This Renewed product is tested to work and look like new with minimal to no signs of wear & tear; the product comes with relevant accessories and is backed by a minimum six month seller warranty; box may be generic', ""Lenovo ThinkPad gives fast performance at an affordable price. Laptop Ideal for professionals/students needing best-in-class, slim and lights. It's powered with Intel Core i5 6200U 2.3 GHz upto 2.8 GHz with Intel Turbo Boost Technology, 16 GB RAM along with 512 GB SSD Storage which enhances the overall performance of the machine and 3 MB cache."", 'Features like Intel HD Graphics 520 make it an ideal product to carry out all your tasks in one place.', 'It offers Brighter, crisper display with 14-inch HD along with Webcam and Microphone which enhances your video conferencing experience.Pre-installed with Windows 11 and MS office (Trial version)', 'It encompasses a wide range of slots and ports, it comes along with USB, Security lock slot,HDMI port,LAN Port (RJ-45), Power connector,Headphone/Microphone combo jack reader.It also comes with Bluetooth making your wireless connectivity easier and faster.']","""lENOVO"""
B0B4N77Y34,"HP Laptop 15s, AMD Ryzen 5 5500U, 15.6-inch (39.6 cm), FHD, 16GB DDR4, 512GB SSD, AMD Radeon Graphics, 720p HD Camera, Backlit KB, Thin & Light (Win 11, MSO 2021, Silver, 1.69 kg), eq2182AU/eq2305au","41,290",1596.0,4.1,https://m.media-amazon.com/images/I/71KjsJ0cCtL._SL1500_.jpg,"[""https://m.media-amazon.com/images/I/71KjsJ0cCtL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/81ydFgb+BVL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/71y45xLzgHL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/81p6s3IRgSL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/715MiEIJYqL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/81QeGNW61gL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/710X32HCp8L._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/611Kof8t7hL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/81jUoyNyvSL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/61zV5XkvDVL._SL1500_.jpg""]",,"['?6-core AMD Ryzen 5 5500U?Harness efficient multitasking with the AMD Ryzen 5 5500U processor, boasting 12 threads and an 8MB L3 cache. Experience heightened productivity and responsiveness.;?AMD Radeon graphics?Elevate your visuals with AMD Radeon graphics, ensuring vibrant clarity. Enjoy a captivating computing experience marked by stunning graphics for work and entertainment.', '?Upgraded memory and storage?Elevate functionality with 16GB DDR4 RAM and a high-speed 512GB PCIe NVMe M.2 SSD. Unlock smooth operations and ample storage for a seamless workflow.;?Micro-edge display?The 15.6-inch, FHD, 250-nit, anti-glare, and micro-edge display is engineered for high-quality viewing with stunning clarity.; ?Long battery life?Fast charge up to 50% in 45 mins. A durable 3-cell, 41Wh battery maximizes productivity, ensuring you charge once and work for up to 9 hours and 30 mins.;?Pre-loaded Win 11 and MS Office?Comes with Win 11 and MS Office 2021. To activate your MS Office, sign in or sign up, and follow the Office Activation Wizard.', '?Effortless connectivity?Wi-Fi 5 (2x2) and Bluetooth 5.0 deliver an uninterrupted experience. Enjoy effortless connectivity with 1 x USB Type-C, 2 x USB Type-A, and 1 x HDMI 1.4b ports.;?Business conferencing?HP True Vision 720p HD camera, dual array mics, and dual speakers enhance your virtual meetings with crystal-clear collaboration.', '?Why HP?Experience the unparalleled advantages of choosing HP, the most preferred and trusted PC brand by Indians, empowering you with cutting-edge technology and steadfast dependability.;?Sustainably made?Choose an environmentally conscious laptop with recycled plastics, EPEAT Gold registration, and ENERGY STAR certification.', 'Chipset Type: Amd R Series; Model: Eq2100 Series; Battery Average Life: 3.0 Hours']","""HP"""
B0CB7S1RTX,"Acer Aspire Lite AMD Ryzen 5 5500U Premium Thin and Light Laptop (16 GB RAM/512 GB SSD/Windows 11 Home) AL15-41, 39.62 cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.59 KG","34,990",537.0,3.9,https://m.media-amazon.com/images/I/513p8BwV-RL._SL1080_.jpg,"[""https://m.media-amazon.com/images/I/513p8BwV-RL._SL1080_.jpg"", ""https://m.media-amazon.com/images/I/91uEdp5TfjL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/81aCWSKdz-L._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/71xcBBdAX9L._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/71T05W0naVL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/81+lrkkpz6L._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/51+tpdYgxDL._SL1000_.jpg"", ""https://m.media-amazon.com/images/I/81iZd--MhCL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/31sFGwOZc9L._SL1000_.jpg""]",,"['Processor : AMD Ryzen 5 5500U Hexa-Core Mobile Processor with AMD Radeon Graphics.Maximum Power Supply Wattage 45 W', 'Visibly Stunning: Experience sharp details and crisp colors on the 15.6"" Full HD display, 16:9 aspect ratio, ultra-slim design and narrow bezels.', 'Internal Specifications: RAM - 16 GB of Dual-channel DDR4, 2 SODIMM sockets; Storage - 512 GB SSD NVMe solid-state drive storage (expandable up to 1TB) to store your files and media', 'Ports: 1 x USB 3.2 Gen 1 (Type A), 2 x USB 2.0 (Type A), 1 x USB 3.2 Gen 2 (Type C), 1 x DC-in jack; Keyboard: 100-/101-/104-key keyboard with independent numeric keypad, international language support', 'Chipset Type: Amd B560; Model: Al15-51']","""Acer"""
B0C1GM4C6V,"ASUS Vivobook 15, Intel Celeron N4020, 15.6"" (39.62 cms) HD, Thin and Light Laptop (8GB/512GB SSD/Integrated Graphics/Windows 11/Office 2021/Silver/1.8 kg), X515MA-BR022WS","26,990",1655.0,3.9,https://m.media-amazon.com/images/I/71ykbL+REgL._SL1500_.jpg,"[""https://m.media-amazon.com/images/I/71ykbL+REgL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/71uqmN2b2UL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/71Yq5QQKyeL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/71+pE72xw6L._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/61MTpiV8JPL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/71yhutum3ML._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/71eZV85uR0L._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/71apKIlq0UL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/714M7qC0qXL._SL1500_.jpg""]",,"['Processor: Intel Celeron N4020 Processor Laptop 1.1 GHz (4M Cache, up to 2.8 GHz, 2 cores);Memory: 8GB DDR4 SO-DIMM with | Storage: 512GB M.2 NVMe PCIe 3.0 SSD; Display: 15.6-inch, HD (1366 x 768) 16:9 aspect ratio, 60Hz refresh rate, 45% NTSC color gamut, Anti-glare display;Graphics: Integrated Intel UHD Graphics', 'Keyboard: Backlit Chiclet Keyboard with Num-key;Operating System: Windows 11 Home with lifetime validity | Software Included: Pre-Installed Office Home and Student 2021 | 1-Year McAfee Anti-Virus', 'Design: 1.99 cm Thin | Thin and Light Laptop | 1.80 kg weight | 37WHrs, 2S1P, 2-cell Li-ion | Up to 6 hours battery life ;Note: Battery life depends on conditions of usage;I/O Port: 1x USB 3.2 Gen 1 Type-A, 1x USB 3.2 Gen 1 Type-C, 2x USB 2.0 Type-A, 1x HDMI 1.4, 1x 3.5mm Combo Audio Jack, 1x DC-in', 'Other: VGA camera | Wi-Fi 5(802.11ac) (Dual band) 1*1 + Bluetooth 5.1 Wireless Card | FingerPrint | SonicMaster, Built-in speaker, Built-in array microphone', 'Chipset Type: Intel Uhd Graphics 600; Battery Average Life: 6.0 Hours']","""ASUS"""
B0DB1SDB87,"Acer Aspire Lite 13th Gen Intel Core i3-1305U Thin and Light Premium Laptop (Windows 11 Home/8 GB RAM/512GB SSD/36 WHR) AL15-53 with 39.62cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.59 KG","33,990",898.0,4,https://m.media-amazon.com/images/I/61fDHkQ6MqL._SL1080_.jpg,"[""https://m.media-amazon.com/images/I/61fDHkQ6MqL._SL1080_.jpg"", ""https://m.media-amazon.com/images/I/61DGTh5pVfL._SL1000_.jpg"", ""https://m.media-amazon.com/images/I/61WmOWUuUtL._SL1000_.jpg"", ""https://m.media-amazon.com/images/I/715tDe1ADAL._SL1000_.jpg"", ""https://m.media-amazon.com/images/I/71xcBBdAX9L._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/61Xkk+I8kGL._SL1000_.jpg"", ""https://m.media-amazon.com/images/I/61zDpKrm9KL._SL1000_.jpg""]",,"['Powerful Productivity: Latest 13th Generation Intel Core i3-1305U Processor delivers unmatched speed and intelligence, enabling impressive creating, productivity, and gaming experiences. With Turbo Boost Technology, get up to 4.5GHz for your high-demand applications. Connectivity Technology: Wi-Fi, Bluetooth, HDMI', 'Visibly Stunning: Experience sharp details and crisp colors on the 15.6"" Full HD display, 16:9 aspect ratio, ultra-slim design and narrow bezels.', 'Internal Specifications: RAM - 8 GB of Dual-channel DDR4, 2 SODIMM sockets; Storage - 512 GB SSD NVMe solid-state drive storage (expandable up to 1TB) to store your files and media', 'Ports: one Type-C port, two USB 2.0 Type-A port, and one USB 3.2 Type-A port.', 'Keyboard: 100-/101-/104-key keyboard with independent numeric keypad, international language support']","""Acer"""
B0BQN2HV46,"HP Laptop 15s, AMD Ryzen 3 5300U, 15.6-inch (39.6 cm), FHD, 8GB DDR4, 512GB SSD, AMD Radeon Graphics, Thin & Light, Dual Speakers (Win 11, MSO 2021, Silver, 1.69 kg), eq2212AU","31,517",37.0,4,https://m.media-amazon.com/images/I/71DRVwvDALL._SL1500_.jpg,"[""https://m.media-amazon.com/images/I/71DRVwvDALL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/81fkxejZNPL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/811w27PFjlL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/71srppxVSQL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/81b257ADzoL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/71XfZVg5JhL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/71IYLB0gq4L._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/71zqRivfNSL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/81Mj1OWJA4L._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/61w5x+DtxrL._SL1500_.jpg""]","Stay connected to what matters most with long-lasting battery life and a thin micro-edge bezel design. Built to keep you productive and entertained from anywhere, the HP 15.6 inch Laptop features reliable performance and an expansive display, so you can stream, surf and speed through tasks.[1]","['?4-core AMD Ryzen 3 5300U?8 threads and 4MB L3 cache deliver powerful performance and swift responsiveness. The AMD Radeon graphics help you experience crisp visuals with vivid clarity.;?Upgraded memory and storage?8GB DDR4 RAM integrates a higher-bandwidth memory for smooth functioning. The high-speed 512GB PCIe NVMe M.2 SSD creates more room to work with ample storage.', '?Micro-edge display?The 15.6-inch, FHD, 250-nit, anti-glare, and micro-edge display is engineered for high-quality viewing with stunning clarity.;?Effortless connectivity?Wi-Fi 5 (2x2) and Bluetooth 5.0 ensure an uninterrupted and seamless experience. Enjoy effortless connectivity with 1 x USB Type-C, 2 x USB Type-A, and 1 x HDMI 1.4b ports.; ?Long battery life?Fast charge your battery from 0% to 50% in 45 mins. The durable 41Wh battery enables you to maximize productivity and work through tasks without interruption.;?Business conferencing?HP True Vision 720p HD camera with integrated dual array mics, and dual speakers deliver a high-resolution, crystal-clear collaboration experience.', '?Why HP?Experience the unparalleled advantages of choosing HP, the most preferred and trusted PC brand by Indians, which empowers you with cutting-edge technology and steadfast dependability.;?Pre-loaded Win 11 and MS Office?Comes with Win 11 and MS Office 2021. To activate your MS Office, sign in or sign up, and follow the Office Activation Wizard.', '?Sustainably made?Make an environmentally conscious choice with a thoughtfully designed laptop that contains recycled plastics and is EPEAT Silver registered and ENERGY STAR certified.;?Reliable design?A sleek yet sturdy laptop that delivers rock-solid performance all day long with power-packed features, optimized heat management, and 1-year on-site standard warranty.', 'Chipset Type: Amd R Series; Model: 15s- Eq2212au']","""HP"""
B0BQJ68HHC,"Dell [Smartchoice] 15 Thin & Light Laptop, 12th Gen Intel Core i3-1215U Processor/8GB/512GB SSD/Intel UHD Graphics/15.6""(39.62cm) FHD/Windows 11 + MSO'21/15 Month McAfee/Spill-Resistant KB/Grey/1.48kg","35,990",490.0,3.6,https://m.media-amazon.com/images/I/71TcPkUibVL._SL1500_.jpg,"[""https://m.media-amazon.com/images/I/71TcPkUibVL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/71-PdmrSeRL._SL1200_.jpg"", ""https://m.media-amazon.com/images/I/71h-SX-ecgL._SL1200_.jpg"", ""https://m.media-amazon.com/images/I/71oPMvaBG0L._SL1200_.jpg"", ""https://m.media-amazon.com/images/I/710CRXGWuvL._SL1200_.jpg"", ""https://m.media-amazon.com/images/I/71PXkTQbWEL._SL1200_.jpg"", ""https://m.media-amazon.com/images/I/61eC6UodmTL._SL1200_.jpg"", ""https://m.media-amazon.com/images/I/610JxREowPL._SL1200_.jpg"", ""https://m.media-amazon.com/images/I/61o9yMKSzhL._SL1200_.jpg"", ""https://m.media-amazon.com/images/I/61fvuwNsYUL._SL1000_.jpg""]",,"['Processor: Intel Core i3-1215U 12th Generation (up to 4.40 GHz, 10MB 6 Cores)', 'RAM & Storage: 8 GB, 1 x 8 GB, DDR4, 2666 MHz, (2 DIMM Slots, Expandable up to 16GB) & 512GB SSD', 'Software: Pre-Loaded Windows 11 Home with Lifetime Validity | MS Office Home and Student 2021 with lifetime validity| McAfee Multi-Device Security 15-month subscription', 'Graphics & Keyboard: Integrated Onboard Graphics & Standard Keyboard // Display: 15.6"" FHD WVA AG 120Hz 250 nits Narrow Border', 'Ports: 2 USB 3.2 Gen 1 ports, 1 USB 2.0 port, 1 Headset jack, 1 HDMI 1.4 port, 1 SD 3.0 card slot, 1 Flip-Down RJ-45 port 10/100/1000 Mbps']","""Dell"""
B0CCP9PH92,"ASUS Vivobook 14 Thin and Light Laptop, IntelCore i3-1215U 12th Gen, 14"" (35.56 cm) FHD, (8 GB RAM/512GB SSD/Win11/Office 2021/Fingerprint/42WHr /Blue/1.40 kg), X1404ZA-NK321WS","35,990",885.0,4.1,https://m.media-amazon.com/images/I/71Or7JT0+6L._SL1500_.jpg,"[""https://m.media-amazon.com/images/I/71Or7JT0+6L._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/71f3dhJRWbL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/71YhFB1ySQL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/715986jDaFL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/81jlue4vzHL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/81hWkPPD2DL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/71eZV85uR0L._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/71kOArtJuRL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/71uqli1vFZL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/91c+M+Ic3nL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/81AVU+nl0VL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/81Mq3NqNU9L._SL1500_.jpg""]",,"['Processor: IntelCore i3-1215U Processor 1.2 GHz (10M Cache, up to 4.4 GHz, 6 cores) Efficient Multitasking.', 'Storage: 512GB M.2 NVMe PCIe 4.0 SSD | Memory: 8GB DDR4 3200MHz on board', 'Design: 1.79 ~ 1.79 cm Thin | Thin & Light Laptop | 1.40 kg | 42WHrs Battery Capacity Up to 6 hours Battery life, Note: Battery life depends on conditions of usage', 'Display: 14.0-inch (35.56 cms), FHD (1920 x 1080) 16:9 aspect ratio, 60Hz Refresh Rate, IPS-Level Panel', 'Operating System: Windows 11 Home with lifetime validity | Software Included: Pre-Installed Office Home and Student 2021 | 1-Year McAfee Anti-Virus', 'Graphics: Integrated Integrated Intel Iris Xe Graphics', 'Keyboard: Chiclet Keyboard | I/O Port: 1x USB 2.0 Type-A, 1x USB 3.2 Gen 1 Type-C, 2x USB 3.2 Gen 1 Type-A, 1x HDMI 1.4, 1x 3.5mm Combo Audio Jack, 1x DC-in']","""ASUS"""
B0CR495DW5,"(Refurbished) Lenovo ThinkPad 5th Gen Intel Core i5 Thin & Light HD Laptop (8 GB RAM/256 GB SSD/14"" (35.6 cm) HD/Windows 10 Pro/MS Office/WiFi/Webcam/Intel Graphics), Black","₹13,299",448.0,3.8,https://m.media-amazon.com/images/I/617Ykb5YvLL._SL1300_.jpg,"[""https://m.media-amazon.com/images/I/617Ykb5YvLL._SL1300_.jpg"", ""https://m.media-amazon.com/images/I/51-rI-yj4EL._SL1380_.jpg"", ""https://m.media-amazon.com/images/I/51qmrz+UVqL._SL1380_.jpg"", ""https://m.media-amazon.com/images/I/41ewWWNJVjL._SL1000_.jpg"", ""https://m.media-amazon.com/images/I/617Ykb5YvLL._SL1300_.jpg""]",,"['This Renewed product is tested to work and look like new with minimal to no signs of wear & tear; the product comes with relevant accessories and is backed by a minimum six month seller warranty; box may be generic', ""Lenovo ThinkPad gives fast performance at an affordable price. Laptop Ideal for professionals/students needing best-in-class, slim and lights. It's powered with Intel Core i5 5200U 2.2 GHz upto 2.7 GHz with Intel Turbo Boost Technology, 8 GB RAM along with 256 GB SSD Storage which enhances the overall performance of the machine and 3 MB cache."", 'Features like Intel HD Graphics 5500 make it an ideal product to carry out all your tasks in one place.', 'It offers Brighter, crisper display with 14-inch HD along with Webcam and Microphone which enhances your video conferencing experience.Pre-installed with Windows 10 Pro and MS office (Trial version)', 'It encompasses a wide range of slots and ports, it comes along with USB, Security lock slot,VGA port,LAN Port (RJ-45), Power connector,Headphone/Microphone combo jack reader.It also comes with Bluetooth making your wireless connectivity easier and faster.']","""Lenovo"""
