asin,title,price,num_of_ratings,average_rating,main_image,all_images,product_description,about_product,product_information
B07WHSNYL5,"iQOO Z9 Lite 5G (Aqua Flow, 6GB RAM, 128GB Storage) | Dimensity 6300 5G | 50MP Sony AI Camera | Charger in The Box","11,499",431,3.9,https://m.media-amazon.com/images/I/61WZicN+coL._SL1200_.jpg,"[""https://m.media-amazon.com/images/I/61WZicN+coL._SL1200_.jpg"", ""https://m.media-amazon.com/images/I/71580M7qLKL._SL1200_.jpg"", ""https://m.media-amazon.com/images/I/618fV8UZ6LL._SL1200_.jpg"", ""https://m.media-amazon.com/images/I/617qNscwA-L._SL1200_.jpg"", ""https://m.media-amazon.com/images/I/71k3f4L1bhL._SL1200_.jpg"", ""https://m.media-amazon.com/images/I/616v0FlxYGL._SL1200_.jpg""]",,"['PROCESSOR : Powered by MediaTek Dimensity 6300 5G with 414,564 AnTuTu Score, 2.4Hz Clock Speed and Octa-core CPU architecture which gives you effortless multi-tasking experience.', 'SMOOTH 5G EXPERIENCE : Experience the future of lightning-fast speed and seamless connectivity, allowing you to enjoy superfast 5G video streaming, uninterrupted video calls, and enhanced connectivity. Z9 Lite also has VonR Support & Dual Sim 5G capability.', 'CAMERA: Capture sharp and vibrant images with the 50MP Sony AI Camera, ensuring that every vivid and radiant moment is perfectly framed within your camera with features like AI Photo Enhancer, Night mode & Unmatched portrait filter.', 'SAFE & SOUND : It is IP64 rated - Dust and Water Resistance. Dust finds nowhere to get in, and liquid splashes cause no damage to the device from any direction, allowing you to keep exploring with no worries about the environment.', 'BATTERY: iQOO Z9 lite is equipped with large 5000mAh Battery which ensures lasting enjoyment throughout your day. It also comes with in the box charger.']",null
B0BY8L3RZ6,"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 8GB RAM, 256GB Storage)","18,452",49410,4.2,https://m.media-amazon.com/images/I/61LB+d0vheL._SL1500_.jpg,"[""https://m.media-amazon.com/images/I/61LB+d0vheL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/71EA48-X7zL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/61QvnKugRuL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/51g5AuSsiYL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/61CTkx2jIsL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/51DwtdEhPIL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/511ZHcfRIVL._SL1500_.jpg""]",,"['Camera: 108 MP Main Camera with EIS; 2MP Depth-Assist Lens and 2MP Macro Lens; Front (Selfie) Camera: 16MP', 'Rear Camera Mode: Hi-res 108MP mode, 3x Lossles Zoom, Photo, Video, Nightscape, Expert, Panoramic, Portrait, Macro, Time-lapse, Slow-motion, Long exposure, Dual-view video, Text Scanner, 1080p/720p@30fps, Video zoom: 1080P@30fps, 720P@30fps, Slow motion: 720P@120fps, Time-Lapse: 1080P@30fps, Steady Video EIS support', 'Display: 6.72 Inches; 120 Hz Adaptive refresh rate; FHD+(1080×2400), Colors: 16.7 Million colors, 391 ppi, Aspect Ratio: 20:9, Brightness: 550 nits (typical), 680 nits (HBM)', 'Operating System: Oxygen OS based on Android 13.1', 'Processor: Qualcomm Snapdragon 695 5G', 'Battery & Charging: 5000 mAh with 67W SUPERVOOC Endurance Edition']",null
B0CNX6WVG5,"Redmi 13C 5G (Startrail Green, 4GB RAM, 128GB Storage) | MediaTek Dimensity 6100+ 5G | 90Hz Display","10,499",6956,4,https://m.media-amazon.com/images/I/81KFSdWCCEL._SL1500_.jpg,"[""https://m.media-amazon.com/images/I/81KFSdWCCEL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/816UT-igw9L._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/61W7pOSsMwL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/811wksRwAVL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/514ccSThBtL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/51rrbVKeopL._SL1500_.jpg""]",,"['Processor: Powerful MediaTek Dimensity 6100+ 5G SoC | 8GB of RAM including 4GB virtual | 6.74"" HD+ 90Hz display with Corning Gorilla Glass 3 Protection | 50MP AI Dual camera |Fast Side fingerprint | 5000mAh Battery', '6.74"" HD+ 90Hz display with Corning Gorilla Glass 3 Protection, 600nits in High Brightness mode', '50MP AI Dual camera with Primary sensor of f/1.8 (4-in-1 super pixel) with the following modes: Photo | Portrait | Night | Video | 50MP mode | Time-lapse | Classic film filters | Frame | HDR | Google lens | Voice Shutter |']",null
B0D6R8PGSB,"OPPO A3 Pro 5G (Moonlight Purple, 8GB RAM, 128GB Storage)|6.67” HD+ 120Hz Refresh Rate Screen | 45W SUPERVOOC|with No Cost EMI/Additional Exchange Offers","17,999",60,4,https://m.media-amazon.com/images/I/81ZFLjC0JJL._SL1500_.jpg,"[""https://m.media-amazon.com/images/I/81ZFLjC0JJL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/81RFm3M5Z3L._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/71wo+c1EYfL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/61N12zJF1lL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/81SYSjRl+NL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/71vreVAR5hL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/91N9qsc2YXL._SL1500_.jpg""]",,"['DISPLAY :16.94 cm (6.67""Inch) HD+ LCD 120Hz Ultra Bright Display ,with Screen-to-body ratio: 89.9% .High refresh rate and high brightness for a smooth experience', 'CAMERA : AI Dual Ultra-Clear Camera 50MP Main Camera + 2MP Portrait camera |8MP Front Selfie Camera| AI Portrait Retouching |With the Dual-View Video on, the front and rear cameras can record videos at the same time, which is a new interesting form of video shooting.', 'MEMORY STORAGE,SIM & PROCESSOR : 8 GB RAM|128 GB ROM | Dual 5G Sim Slot |Latest Android 14 Operating System and ColorOS 14.0 System Platform with MediaTek Dimensity 6300.', 'FAST CHARGING & BATTERY : 45W SuperVOOC charging enable fast and efficient charging .It have 5100mAh durable long Battery .', 'PREMIUM DESIGN & ALL ROUND ARMOUR : It adopts a Magnetic Particle Design to create dynamic textures making it more Premium in this Segment.It has Anti drop Protection Body making it more durable and effective for long run.']",null
B0CMTWJ5RV,"Redmi 13C (Starshine Green, 6GB RAM, 128GB Storage) | Powered by 4G MediaTek Helio G85 | 90Hz Display | 50MP AI Triple Camera","8,498",6866,4.1,https://m.media-amazon.com/images/I/71hj88T5aBL._SL1500_.jpg,"[""https://m.media-amazon.com/images/I/71hj88T5aBL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/61stojadGkL.jpg"", ""https://m.media-amazon.com/images/I/71Cb7zcDYRL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/81swpQdAPtL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/81iqWlaZv2L._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/71FKAcHFrzL._SL1500_.jpg""]",,"['Processor: High performance MediaTek G85 ; Enhance gaming with 1GHz GPU | 12GB of RAM including 6GB virtual | 6.74"" HD+ 90Hz display with Corning Gorilla Glass 3 Protection | 50MP AI Triple camera |Fast Side fingerprint | 5000mAh Battery', '6.74"" HD+ 90Hz display with Corning Gorilla Glass 3 Protection, 600nits in High Brightness mode', '50MP AI Triple camera with Primary sensor of f/1.8 (4-in-1 super pixel) with the following modes: Photo | Portrait | Night | Video | 50MP mode | Time-lapse | Classic film filters | Frame | HDR | Google lens | Voice Shutter']",null
B0D9NFLZMQ,"realme NARZO N65 5G (Amber Gold 8GB RAM, 128GB Storage) India's 1st D6300 5G Chipset | Ultra Slim Design | 120Hz Eye Comfort Display | 50MP AI Camera| Charger in The Box","13,499",585,4.2,https://m.media-amazon.com/images/I/71ocQY+G2XL._SL1500_.jpg,"[""https://m.media-amazon.com/images/I/71ocQY+G2XL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/81gCezhsnhL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/71t4doEgw0L._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/510jAH6FXOL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/51IR38WW-8L._SL1500_.jpg""]",,"[""Segment's most advanced process 6nm flagship process, compared to the 7nm process 6nm transistor density is higher, the corresponding computing efficiency is higher, lower power consumption.More advanced chip process can effectively reduce the power consumption of mobile phones, mobile phone life longer, more smooth experience"", ""Segment's fastest 5G Speed Theoretical download speed：3.27Gbps；Super Network Searching Intelligent identification of LTE strong signal adjacent areas, fast conversion to strong signal areas, effectively reduce the use of weak signals, reduce frequent network searches and modem power consumption"", 'DRE (Dynamic RAM Expansion ) Technology In order to solve the drawbacks caused by the lack of memory on the phone, realme developed DRE Technology, which converts ROM into virtual RAM to expand RAM. N65 can expand 6GB RAM by up to 6GB to enjoy a 12GB-like experience', ""The TÜV SÜD 48-Month Fluency Rating is a rigorous test that measures a device's performance over time. The test involves running a variety of tasks, such as opening apps, switching between apps, and playing games. The device is also subjected to a variety of environmental conditions, such as extreme temperatures and humidity""]",null
B0D9HT785B,"OPPO A3 5G (Ocean Blue, 6GB RAM, 128GB Storage)","15,999",1,5,https://m.media-amazon.com/images/I/818YeLG3cJL._SL1500_.jpg,"[""https://m.media-amazon.com/images/I/818YeLG3cJL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/81p-rAAYcIL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/81nZ3NzVXEL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/71ssoHI8t2L._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/61mVEatgzfL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/71AuXPx2cyL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/81ANo+4A6TL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/71PidT1NqOL._SL1500_.jpg""]","6.67Inch 120Hz Refresh Rate Ultra Bright Display with 50MP Ultra-Clear Camera with Dual-View Video ,AI Portrait Retouching ,45W SUPERVOOC Flash Charge,5100mAh Hyper Energy Battery with Over 4 Years Durable Battery with Smart Charging.","['DISPLAY :16.94 cm (6.67""Inch) HD+ LCD 120Hz Ultra Bright Display to greatly improve the smoothness of screen touches ,with Screen-to-body ratio of 89.9% for better viewing experience.', 'CAMERA : 50MP Dual Ultra-Clear Rear camera |5MP Front Selfie Camera| AI Portrait Retouching |With the Dual-View Video on, the front and rear cameras can record videos at the same time, which is a new interesting form of video shooting.', 'MEMORY, STORAGE,SIM & PROCESSOR : 6GB RAM|128 GB ROM | Dual 5G Sim Slot |Latest Android 14 Operating System and ColorOS 14.0 System Platform with MediaTek Dimensity 6300.', 'FAST CHARGING & BATTERY : 45W SuperVOOC charging enable fast and efficient charging .It have 5100mAh hyper energy battery', 'PREMIUM DESIGN & SHOCK RESISTANCE : It has Straight-corner bezel design, with chamfering on back cover edges to ensure a comfortable grip.The 2.5D curved screen ensures smoother slides from the screen to the edges, and also feel more durable and drop-resistant than the conventional curved screen.The screen uses double-tempering glass making it shock resistance device']",null
B0CQVPXW4C,"POCO M6 5G (Galactic Black,6GB RAM, 128GB Storage) | MediaTek Dimensity 6100+ 5G Processor | 5000 mAh Battery + 18W Fast Charging | 50 MP AI Dual-Camera System & Side Fingerprint Sensor","9,999",1345,3.9,https://m.media-amazon.com/images/I/71xhuh0xF4L._SL1500_.jpg,"[""https://m.media-amazon.com/images/I/71xhuh0xF4L._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/71b0T9mkV3L._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/717hl0-ljZL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/71b0T9mkV3L._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/61jljgpMLDL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/81xquvCtygL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/71DYq00+ZUL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/71ss+3MI5RL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/61BNvSy7pfL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/61IRuJDBVoL._SL1500_.jpg""]",,"['Processor: Powerful MediaTek Dimensity 6100+ 5G SoC | 12GB of RAM including 6GB virtual | 6.74"" HD+ 90Hz display with Corning Gorilla Glass 3 Protection | 50MP AI Dual camera |Fast Side fingerprint | 5000mAh Battery', '6.74"" HD+ 90Hz display with Corning Gorilla Glass 3 Protection, 600nits in High Brightness mode', '50MP AI Dual camera with Primary sensor of f/1.8 (4-in-1 super pixel) with the following modes: Photo | Portrait | Night | Video | 50MP mode | Time-lapse | Classic film filters | Frame | HDR | Google lens | Voice Shutter |']",null
B0D7VGZS69,"OnePlus Nord 4 5G (Oasis Green, 8GB RAM, 256GB Storage)","32,998",239,4.1,https://m.media-amazon.com/images/I/616wnQmPQ-L._SL1500_.jpg,"[""https://m.media-amazon.com/images/I/616wnQmPQ-L._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/714dfCJtGoL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/717NfWcWWGL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/611DUOU0OML._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/51kSMKsOB3L._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/51Fiehk-xlL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/51g0A4NMD8L._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/51WnML6+3fL._SL1500_.jpg""]",,"[""5500mAh Battery: Just 5 minutes of charging gives you 5 hours of Prime Video binging! With its massive 5500mAh battery, you'll have all the power you need to stay charged throughout the day"", '100W SUPERVOOC Fast Charging: With a blazing-fast 100W adaptor, you can rocket from 0 to 100% charge in just 28 minutes and power up for the entire day in under 20 minutes!', ""AI starts with Nord: AI Best Face, Eraser & Smart Cutout has got you covered with best pictures. Further, AI Article and Audio Summary ensures that you don't fret with long reads and stay updated effortlessly"", 'Sleek, strong and less prone to shatter: Introducing the only metal unibody smartphone of the 5G era: the OnePlus Nord 4. Experience the slimmest Nord ever, with a sleek 0.8mm thickness! Available in three stunning colors: Mercurial Silver, Oasis Green, and Obsidian Midnight', 'Up to 6 years of fast & smooth experiece: OnePlus Nord 4 has been rated A by TUV SUD for 6 years of system fluency. Further, you also get 4 Android updates & 6 years of security updates for a seamless experience', 'Snapdragon 7+ Gen 3: The OnePlus Nord 4, driven by the cutting-edge Qualcomm Snapdragon 7+ Gen 3, transforms your device into a powerhouse for gaming and AI', ""4 years of peak battery capacity: The Battery Health Engine, with its intelligent AI and hardware synergy, adapts to your charging habits, extending your battery life to an impressive 4 years—even with daily charges up to 80% or more. Effortlessly monitor and adjust settings to maximize your phone's performance"", 'Ultra bright display: The 120 Hz OLED display guarantees stunningly deep visuals. Additionally, Aqua Touch technology provides precise typing and swiping, even with wet fingers', 'Storage: OnePlus Nord 4 8+128GB variant comes with UFS3.1 storage, whereas the 8+256GB & 12+256GB variant comes with UFS4.0 storage']",null
B0D78W2HF5,"Redmi 13 5G, Orchid Pink, 6GB+128GB | India Debut SD 4 Gen 2 AE | 108MP Pro Grade Camera | 6.79in Largest Display in Segment","13,998",726,3.8,https://m.media-amazon.com/images/I/81Q9jpYOFdL._SL1500_.jpg,"[""https://m.media-amazon.com/images/I/81Q9jpYOFdL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/81IrcOK1RuL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/71szqdh2+DL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/71CgI7hYXGL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/71leOBQ6M1L._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/71ZZuBS2mvL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/81yHIE2RXpL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/71yXwVDmQiL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/71+hHWjEhyL._SL1500_.jpg""]",,"['Display: Large 17.24cm FHD+ 120Hz AdaptiveSync display with Corning Gorilla Glass 3 Protection, TÜV Rheinland low blue light, TÜV flicker-free, TÜV Circadian Friendly, Wet finger touch display', 'Processor: Qualcomm Snapdragon 4 Gen2 Accelerated Edition Octa-core processor for high performance ; Up to 2.3GHz; Android 14 with Xiaomi HyperOS, Upto 12GB RAM including 6GB Virtual RAM', 'Camera: 108MP f/1.75 Dual camera with 3X In-Sensor Zoom, classic film filters, Portrait, Night Mode,HDR, 108MP mode, Time-lapse, Google lens, Macro Video | 13MP Selfie camera', 'Battery: 5030 mAh large battery with 33W fast charger in-box and Type-C connectivity', 'Side Fingerprint Sensor, 3.5mm Jack, IR Blaster, IP53']",null
