asin,title,price,num_of_ratings,average_rating,main_image,all_images,product_description,about_product,product_information
B07MDGSP8F,TIMEWEAR Analog Day Date Functioning Stainless Steel Chain Watch for Men,297,13187.0,3.8,https://m.media-amazon.com/images/I/81nj6IlZpVL._SL1500_.jpg,"[""https://m.media-amazon.com/images/I/81nj6IlZpVL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/51sKbIrGvkL._SL1280_.jpg"", ""https://m.media-amazon.com/images/I/716QkxqyjbL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/81b4XCIqYxL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/71I6o5I8jQL._SL1500_.jpg""]",Stay fashionable with this watch from TIMEWEAR available on Amazon. This Analogue watch has Round Dial. The Silver colored straps in the watch are Stylish,"['Dial Color: White | Dial Diameter: 38 mm | Case Thickness: 8mm | Band Width:22mm | Max Perimeter: 220mm | Min Perimeter: 160mm', 'Stainless Steel Chain | Stainless Steel Back | Water Resist', 'Premium Day Date Watch | Japanese Quartz Movement | Battery: 100% Original | Life: 2/3 Years', 'Package Includes:1 Watch | Company Box | Warranty Card | Gst Paid Bill', 'Analog Watch for Men | Recommended for age 14 & Above']","{""Is Discontinued By Manufacturer"": ""No"", ""Product Dimensions"": ""22 x 3.8 x 0.8 cm; 155 g"", ""Date First Available"": ""30 November 2018"", ""Manufacturer"": ""Timewear & Beyond, Customer Support No.: +919911990088 Timings: 10.30 am to 05.30 pm Monday to Saturday (excluding all statutory holidays)"", ""ASIN"": ""B07MDGSP8F"", ""Item model number"": ""221WDTG"", ""Country of Origin"": ""India"", ""Department"": ""mens"", ""Packer"": ""Timewear & Beyond"", ""Item Weight"": ""155 g"", ""Item Dimensions LxWxH"": ""22 x 3.8 x 0.8 Centimeters"", ""Net Quantity"": ""1.00 count"", ""Generic Name"": ""Casual Watch"", ""Best Sellers Rank"": ""#4 in Watches (See Top 100 in Watches)    #3 in Men's Wrist Watches"", ""Customer Reviews"": ""3.8    3.8 out of 5 stars     \n\n                       13,187 ratings""}"
B09CHJ5RWK,"SELLORIA Silicone Digital Watch Shockproof Multi-Functional Automatic Black Color Strap Waterproof Digital Sports Watch For Mens Kids Watch For Boys, Men Pack Of 1, Water Resistance",169,1036.0,3.8,https://m.media-amazon.com/images/I/61YTgYOiedL._SL1500_.jpg,"[""https://m.media-amazon.com/images/I/61YTgYOiedL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/619AHzZQ5SL._SL1400_.jpg"", ""https://m.media-amazon.com/images/I/61niYHwvY7L._SL1400_.jpg"", ""https://m.media-amazon.com/images/I/81WFYutBJNL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/51jQSp3MRKL.jpg"", ""https://m.media-amazon.com/images/I/81gLY1D0IdL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/61kvSi+DSOL._SL1400_.jpg"", ""https://m.media-amazon.com/images/I/71jG5v2dcXL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/519kZNI2UvL.jpg""]",,"['Dial Diameter: 38MM ""Recommended for Customers Looking for small Dial Sized Watches""', 'Dial Color: Black; Dial Material: Brass; Dial Shape: Round; Strap Color: black, Strap Material: Rubber, Strap Width: 22 MM', 'Warranty Type: Warranty Of 6 Months For Manufacturing Defects Only', 'Dial Color: Multi; Dial Material: silicon; Dial Shape: Round', 'Band Material Type: Silicone; Case Material Type: Plastic; Warranty Type: No Warranty; Dial Color: Green; Bezel Function: No Bezel Available']","{""Product Dimensions"": ""1 x 1 x 1 cm; 80 g"", ""Date First Available"": ""30 January 2021"", ""Manufacturer"": ""SELLORIA"", ""ASIN"": ""B09CHJ5RWK"", ""Item model number"": ""116161601"", ""Country of Origin"": ""India"", ""Department"": ""boys"", ""Packer"": ""selloria"", ""Item Weight"": ""80 g"", ""Item Dimensions LxWxH"": ""10 x 10 x 10 Millimeters"", ""Net Quantity"": ""1.00 count"", ""Generic Name"": ""Casual Watch"", ""Best Sellers Rank"": ""#13 in Watches (See Top 100 in Watches)    #11 in Men's Wrist Watches"", ""Customer Reviews"": ""3.8    3.8 out of 5 stars     \n\n                       1,036 ratings""}"
B09V12K8NT,"boAt Wave Lite Smart Watch w/ 1.69"" (4.2 cm) HD Display, Sleek Metal Body, HR & SpO2 Level Monitor, 140+ Watch Faces, Activity Tracker, Multiple Sports Modes, IP68 & 7 Days Battery Life(Active Black)",999,70316.0,3.9,https://m.media-amazon.com/images/I/61DZclqQ4RL._SL1500_.jpg,"[""https://m.media-amazon.com/images/I/61DZclqQ4RL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/61z1QYbPl6L._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/71fU8utOzuL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/71VMbpdRc2L._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/71k8YMYtoQL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/61rAPNT98qL._SL1500_.jpg""]",,"['Screen Size: The 1.69 inch HD full touch display with 500 nits of brightness will bring every detail to life! Always on display: No;Resolution: Get sharper color resolution that brightens your virtual world exponentially.', 'Slim Design: The ultra slim and lightweight design of the watch is ideal to keep you surfing your wave all day!;Sports Modes: Track your daily activity: calories burnt & steps taken. Choose from multiple sports modes which include Walking, Running, Cycling, Climbing, Yoga, Basketball, Football & many more', 'Google Fit & Apple Health: The watch supports Google and Apple Fit to seamlessly monitor your health.;IP Rating: Sweat freely while you work out with IP68 dust, sweat and splash resistance.', 'Watch Faces- Customize your style with 140+ based watch faces.;Supported Applications- HR, SpO2, Fitness Tracker, Msgs, Pedometer, Calendar, Alarm. Note: HR and SpO2 readings are not for medical usage; Battery: Lasts upto 7 Days. Microphone: No. Volume Control for Music: Yes;Inclusions- Wave Lite, USB Magnetic Charging Cable, User Manual & Warranty Card', 'Closure Type: Hook; Target Gender: Unisex; Warranty Type: Limited; Sport Type: Basketball/ climbing/ surfing/ yoga/ football/ walking/ cycling/ fitness/ running']","{""Brand"": ""boAt"", ""Manufacturer"": ""Imagine Marketing Ltd"", ""Series"": ""Wave"", ""Colour"": ""Active Black"", ""Item Height"": ""10 Millimeters"", ""Item Width"": ""40 Millimeters"", ""Standing screen display size"": ""1.69 Inches"", ""Product Dimensions"": ""26 x 4 x 1 cm; 45 g"", ""Batteries"": ""1 Lithium Polymer batteries required. (included)"", ""Item model number"": ""Wave Lite"", ""Connectivity Type"": ""Bluetooth"", ""Wireless Type"": ""Bluetooth"", ""Wattage"": ""1.5 Watts"", ""Operating System"": ""manual"", ""Average Battery Life (in hours)"": ""7 Days"", ""Are Batteries Included"": ""Yes"", ""Lithium Battery Energy Content"": ""240 Milliamp Hours (mAh)"", ""Number of Lithium Ion Cells"": ""1"", ""Included Components"": ""User Manual, Watch Wave Lite, Magnetic Charging Cable, Warranty Card"", ""Country of Origin"": ""China"", ""Imported By"": ""Imagine Marketing Ltd"", ""Item Weight"": ""45 g"", ""ASIN"": ""B09V12K8NT"", ""Best Sellers Rank"": ""#92 in Electronics (See Top 100 in Electronics)   #2 in Smart Watches"", ""Date First Available"": ""25 March 2022"", ""Packer"": ""Imagine Marketing Ltd"", ""Importer"": ""Imagine Marketing Limited Unit no. 204 & 205, 2nd floor, D-wing & E-wing, Corporate Avenue, Andheri Ghatkopar Link Road, Mumbai, Maharashtra-400093, India"", ""Item Dimensions LxWxH"": ""26 x 4 x 1 Centimeters"", ""Net Quantity"": ""1 Piece"", ""Generic Name"": ""Smartwatch""}"
B0BJ72WZQ7,"Noise Twist Round dial Smart Watch with Bluetooth Calling, 1.38"" TFT Display, up-to 7 Days Battery, 100+ Watch Faces, IP68, Heart Rate Monitor, Sleep Tracking (Jet Black)","1,499",25799.0,4.1,https://m.media-amazon.com/images/I/61TapeOXotL._SL1500_.jpg,"[""https://m.media-amazon.com/images/I/61TapeOXotL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/61LlRpeeDXL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/71FwUIz2oEL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/61eH7rd3vTL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/41uSUOytOjL.jpg"", ""https://m.media-amazon.com/images/I/61Q9zvUPn9L._SL1500_.jpg""]",,"['1.38"" TFT display: Featuring a vibrant round display and a stylish metallic finish, the smartwatch offers a premium on-screen experience.;Tru SyncTM: Hassle-free pairing, stable connectivity and lower battery consumption combine to provide the most advanced calling experience.', 'Noise Buzz: Manage calls directly from your wrist. Access your call logs, make calls from the dial pad and save up to 10 favourite contacts.;Noise Health SuiteTM: Take better care of your daily health with a series of health monitoring tools Blood oxygen monitor, Sleep monitor, 24x7 heart rate monitor, Stress measurement, Breathe practice & Female cycle tracker.', '100 sports modes: Indulge in the routine of your preference with several sports modes to choose from.;Up to 7-day battery: Breeze through an entire week without charging with up to 7 days of battery life. Get up to 2 days of battery life when calling in enabled.', '100+ watch faces: A series of fun and trendy watch faces let you swap into a new background every day.;Productivity Suite: Increase your daily productivity with a number of features - call, SMS & app notifications, reminder, calculator, weather, quick reply, smart DND, world clock, alarm, stopwatch & timer.; IP68 water resistance: Stay protected from splashes, dust and moisture at all times.; Model: Wrb-Sw-Twist-Std-Blk Blk; Item Weight: 45g; Age Range Description: Adult, Youth; Closure Type: Buckle; Target Gender: Unisex', 'Warranty Type: Limited']","{""Brand"": ""Noise"", ""Manufacturer"": ""Nexxbase Marketing Pvt. Ltd"", ""Series"": ""NoiseFit"", ""Colour"": ""Jet Black"", ""Item Height"": ""12 Millimeters"", ""Item Width"": ""39 Millimeters"", ""Standing screen display size"": ""1.38 Inches"", ""Product Dimensions"": ""4.7 x 3.9 x 1.2 cm; 45 g"", ""Item model number"": ""wrb-sw-twist-std-blk_blk"", ""Connectivity Type"": ""Bluetooth"", ""Wireless Type"": ""Bluetooth"", ""Wattage"": ""40 Watts"", ""Operating System"": ""android, ios"", ""Average Battery Life (in hours)"": ""7 Days"", ""Are Batteries Included"": ""No"", ""Included Components"": ""\u200eSmartwatch, Magnetic Charger, User Manual, Warranty Card"", ""Country of Origin"": ""China"", ""Item Weight"": ""45 g"", ""ASIN"": ""B0BJ72WZQ7"", ""Best Sellers Rank"": ""#98 in Electronics (See Top 100 in Electronics)   #3 in Smart Watches"", ""Date First Available"": ""12 January 2023"", ""Packer"": ""Nexxbase Marketing Pvt. Ltd, Khasra No-146/25/2/1, Jail Road Badshahpur, Gurugram Haryana-122101, 8882-132-132"", ""Importer"": ""Nexxbase Marketing Pvt. Ltd, Khasra No-146/25/2/1, Jail Road Badshahpur, Gurugram Haryana-122101, 8882-132-132"", ""Item Dimensions LxWxH"": ""47 x 39 x 12 Millimeters"", ""Net Quantity"": ""1 Piece"", ""Generic Name"": ""Smartwatch""}"
B0BD5R89RQ,LOUIS DEVIN Silicone Strap Analog Wrist Watch for Men (Black/Blue/Red) | LD-BK054,369,3493.0,4,https://m.media-amazon.com/images/I/61LO6l4zB4L._SL1500_.jpg,"[""https://m.media-amazon.com/images/I/61LO6l4zB4L._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/61A4AVnZF-L._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/51CHKobQh+L._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/61ym-W+QH0L._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/81TI8ViHu7L._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/61pKqGiyXLL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/71nZbZbSI9L._SL1500_.jpg""]",,"['Dial Color: Black | Case Color: Black; Strap Type: 22mm Soft Silicone Black Strap', 'Case Material: IP Black Plated Brass Case', 'Package Contents: 1 Wrist Watch & Warranty Card', ""Warranty Summary: 1 Year Manufacturer's warranty on all the manufacturing defects including the machine movement. Any damages due to wear and tear or mishandling of the product are not covered under warranty. The quartz movement is covered under warranty but the cell is not covered under warranty."", 'Bezel Function: No Bezel Available; Item Shape: Round']","{""Batteries"": ""1 Product Specific batteries required. (included)"", ""Product Dimensions"": ""18 x 4.5 x 0.7 cm; 150 g"", ""Date First Available"": ""5 September 2022"", ""Manufacturer"": ""LOUIS DEVIN"", ""ASIN"": ""B0BD5R89RQ"", ""Item model number"": ""LD-BK054-BLACK"", ""Country of Origin"": ""India"", ""Department"": ""men"", ""Packer"": ""Sagas Marketing, Patparganj Industrial Area, Delhi"", ""Item Weight"": ""150 g"", ""Item Dimensions LxWxH"": ""18 x 4.5 x 0.7 Centimeters"", ""Net Quantity"": ""1.00 Piece"", ""Generic Name"": ""Watch"", ""Best Sellers Rank"": ""#10 in Watches (See Top 100 in Watches)    #8 in Men's Wrist Watches"", ""Customer Reviews"": ""4.0    4.0 out of 5 stars     \n\n                       3,493 ratings""}"
B00HFPIIOI,Casio Youth Series Digital Black Dial Unisex Watch - F-91W-1Q(D002),"1,095",9817.0,4.5,https://m.media-amazon.com/images/I/51oNy5CTCOL._SL1100_.jpg,"[""https://m.media-amazon.com/images/I/51oNy5CTCOL._SL1100_.jpg"", ""https://m.media-amazon.com/images/I/41toAc6i2NL._SL1100_.jpg"", ""https://m.media-amazon.com/images/I/41GQezkbIjL._SL1100_.jpg"", ""https://m.media-amazon.com/images/I/51EdYObSOBL._SL1100_.jpg"", ""https://m.media-amazon.com/images/I/41Imbc9P0eL._SL1100_.jpg"", ""https://m.media-amazon.com/images/I/51K5EcA0rOL._SL1100_.jpg"", ""https://m.media-amazon.com/images/I/51mdRN6xcHL._SL1100_.jpg""]",,"['Dial Color: Black, Case Shape: Rectangular', 'Band Color: Black, Band Material: Resin', 'Watch Movement Type: Quartz, Watch Display Type: Digital', 'Case Diameter: 38.2 × 35.2 × 8.5 millimeter', 'Water Resistence Depth: 10 meters', 'Warranty type:Manufacturer; 2 Years Domestic Warranty']","{""Batteries"": ""1 CR2 batteries required. (included)"", ""Is Discontinued By Manufacturer"": ""No"", ""Product Dimensions"": ""3.52 x 3.82 x 0.85 cm; 140 g"", ""Date First Available"": ""20 December 2013"", ""Manufacturer"": ""Casio"", ""ASIN"": ""B00HFPIIOI"", ""Item model number"": ""F-91W-1DG (D002)"", ""Country of Origin"": ""China"", ""Department"": ""men"", ""Item Weight"": ""140 g"", ""Item Dimensions LxWxH"": ""35 x 38 x 8 Millimeters"", ""Net Quantity"": ""1 count"", ""Included Components"": ""1"", ""Generic Name"": ""Watch"", ""Best Sellers Rank"": ""#2 in Watches (See Top 100 in Watches)    #1 in Men's Wrist Watches"", ""Customer Reviews"": ""4.5    4.5 out of 5 stars     \n\n                       9,817 ratings""}"
B0CK6N9VDC,Matrix Antique 2.0 Day & Date Softest Silicone Strap Analog Watch for Men & Boys,318,1454.0,4.1,https://m.media-amazon.com/images/I/711NXCmUfbL._SL1500_.jpg,"[""https://m.media-amazon.com/images/I/711NXCmUfbL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/71B4dSrAPzL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/71Dpouzxx+L._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/71X8PDf3PWL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/71Oejmvm6uL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/81KPzmq48NL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/71DfSyV9ITL._SL1500_.jpg""]",Matrix Watch,"['Dial : Brass Metal Dial With Silver Needles & Day & Date Feature', 'Strap & Case : Softest Silicon Strap | Stainless Steel Case', 'Machinery : Japanese Quartz Machinery With Original Sony Batteries Which Last More Than 2 Years', 'Other Features : Scratch Resistant Glass & Water Resistent Upto 1 M', 'Warranty - 1 Year Manufacturing Warranty']","{""Product Dimensions"": ""14 x 4 x 2 cm; 120 g"", ""Date First Available"": ""28 September 2023"", ""Manufacturer"": ""TURRANTBUY, TURRANTBUY"", ""ASIN"": ""B0CK6N9VDC"", ""Item model number"": ""DD-117"", ""Country of Origin"": ""India"", ""Department"": ""boys"", ""Packer"": ""TURRANTBUY"", ""Item Weight"": ""120 g"", ""Item Dimensions LxWxH"": ""14 x 4 x 2 Centimeters"", ""Net Quantity"": ""1.00 count"", ""Generic Name"": ""Watch"", ""Best Sellers Rank"": ""#7 in Watches (See Top 100 in Watches)    #4 in Men's Wrist Watches"", ""Customer Reviews"": ""4.1    4.1 out of 5 stars     \n\n                       1,454 ratings""}"
B0BJF1GF29,TIMEWEAR Analog New Track Number Dial Day Date Functioning Leather Strap Watch for Men,291,1387.0,3.7,https://m.media-amazon.com/images/I/71CVv+-eVWL._SL1500_.jpg,"[""https://m.media-amazon.com/images/I/71CVv+-eVWL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/71zUk4ZQB1L._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/61K0P+5PEML._SL1280_.jpg"", ""https://m.media-amazon.com/images/I/714sd69kXTL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/71g7tfYnOuL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/61J5scCeFwL._SL1280_.jpg""]",,"['Dial Color: White | Dial Diameter : 37.5mm | Case Thickness : 8mm | Band Width : 20mm | Max Perimeter : 220mm | Min Perimeter : 160mm', 'Leather Strap Watch | Stainless Steel Back | Water Resist', 'Premium Day Date Watch | Japanese Quartz Movement | Battery: 100% Original | Life: 2/3 Years', 'Package Includes:1 Watch | Company Box | Warranty Card | Gst Paid Bill', 'Analog Watch for Men | Recommended for age 14 & above']","{""Is Discontinued By Manufacturer"": ""No"", ""Product Dimensions"": ""22 x 3.75 x 0.8 cm; 110 g"", ""Date First Available"": ""30 September 2022"", ""Manufacturer"": ""Timewear & Beyond, Customer Support No.: +919911990088 Timings: 10.30 am to 05.30 pm Monday to Saturday (excluding all statutory holidays)"", ""ASIN"": ""B0BJF1GF29"", ""Item model number"": ""305WDTG"", ""Country of Origin"": ""India"", ""Department"": ""mens"", ""Packer"": ""Timewear & Beyond"", ""Item Weight"": ""110 g"", ""Item Dimensions LxWxH"": ""22 x 3.7 x 0.8 Centimeters"", ""Net Quantity"": ""1.00 count"", ""Generic Name"": ""Casual Watch"", ""Best Sellers Rank"": ""#15 in Watches (See Top 100 in Watches)    #13 in Men's Wrist Watches"", ""Customer Reviews"": ""3.7    3.7 out of 5 stars     \n\n                       1,387 ratings""}"
B0BF57RN3K,"Fire-Boltt Ninja Call Pro Plus 46.48mm (1.83 inch) Smart Watch with Bluetooth Calling, AI Voice Assistance, 120 Sports Modes IP67 Rating, 240 * 280 Pixel High Resolution (Black)","1,399",71332.0,4.1,https://m.media-amazon.com/images/I/61FQOvP93fL._SL1500_.jpg,"[""https://m.media-amazon.com/images/I/61FQOvP93fL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/71RLxREu-CL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/717ayT6vKyL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/71ylnBOx-DL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/61l0g5ge1LL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/81ubHkssi7L._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/71U30AATYDL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/71Z2dOSAjLL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/71Y0oD6q3NL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/71lJ5nk5bDL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/61W+ILdc0bL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/61CPcSiCc-L._SL1500_.jpg""]",,"['【46.48mm (1.83 inch) HD Display Smart Watch】- The 46.48mm (46.48mm (1.83 inch)-) HD display makes the display clear and true-to-life, with vivid colours ensuring smooth readability and keeping the watch as exquisite to look at as when you first lay your eyes on it. The watch has a 280 NITS Peak Brightness', 'This fashion smart watch will work on a single charge for about 8 days (without Bluetooth calling) and about 5 Days with Bluetooth calling.', 'Charging Specs - The watch needs to be charged for 2 hours to reach 100%. The charger should be a 3.7V to 5V adapter or any laptop output. For a bare minimum of 20% charge the watch needs to be charged for about 30-40 mins', 'You cannot store Music in the watch, you can only control the music. 【AI Voice Assistant】- With built-in Voice assistant, you can simply speak to the smartwatch & get things done on your command', 'There is no volume control, however when connected to bt calling you can control the volume of the call. 【Bluetooth Calling Watch】- Fire-Boltt Ninja Call Pro Plus Smartwatch enables you to make and receive calls directly from your watch via the built-in speaker and microphone.']","{""Brand"": ""Fire-Boltt"", ""Manufacturer"": ""Fire-Boltt"", ""Series"": ""Fire-Boltt Smart watch"", ""Colour"": ""Black"", ""Item Height"": ""11.5 Millimeters"", ""Item Width"": ""20 Millimeters"", ""Standing screen display size"": ""1.83 Inches"", ""Product Dimensions"": ""25.5 x 2 x 1.15 cm; 50 g"", ""Batteries"": ""1 Lithium Ion batteries required. (included)"", ""Item model number"": ""BSW053"", ""Connectivity Type"": ""Bluetooth"", ""Wireless Type"": ""Bluetooth"", ""Wattage"": ""24 Watts"", ""Operating System"": ""android4.4 (contain), ios8.0 contain) above"", ""Battery Charge Time (in hours)"": ""2 Hours"", ""Average Battery Life (in hours)"": ""8 Days"", ""Are Batteries Included"": ""Yes"", ""Lithium Battery Energy Content"": ""3 Watt Hours"", ""Lithium Battery Weight"": ""0.42 Grams"", ""Number of Lithium Ion Cells"": ""1"", ""Number of Lithium Metal Cells"": ""1"", ""Included Components"": ""1 Smartwatch, 1 Manual, 1 Magnetic Charger, 1 Warranty Card"", ""Country of Origin"": ""India"", ""Item Weight"": ""50 g"", ""ASIN"": ""B0BF57RN3K"", ""Best Sellers Rank"": ""#108 in Electronics (See Top 100 in Electronics)   #4 in Smart Watches"", ""Date First Available"": ""22 August 2024"", ""Packer"": ""Savex Technologies Pvt Ltd"", ""Importer"": ""Savex Technologies Pvt Ltd"", ""Item Dimensions LxWxH"": ""25.5 x 2 x 1.1 Centimeters"", ""Net Quantity"": ""1 Piece"", ""Generic Name"": ""Smartwatch""}"
B0CQ4HSR2D,"Noise Twist Go Bluetooth Calling Smart Watch for Women with Sleek Metal Dial, Glossy Finish, 1.39"" Display, 100+ Watch Faces, IP68, Sleep Tracking, Voice Assistance, Upto 7 Days Battery (Gold Link)","1,599",25799.0,4.1,https://m.media-amazon.com/images/I/81oS2scJ5GL._SL1500_.jpg,"[""https://m.media-amazon.com/images/I/81oS2scJ5GL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/71W3+98XDpL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/81Fz4UOMM5L._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/71llRrFJlaL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/61s02cHi3tL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/61CMWHJsFTL._SL1500_.jpg"", ""https://m.media-amazon.com/images/I/61mtHJJwp7L._SL1500_.jpg""]",,"['Metal build: Discover the perfect blend of sophistication and innovation featuring a glossy metal build and a sleek dial.;1.39"" display: See every detail come to life on your wrist.', 'BT Calling: Stay connected on the go making every call effortlessly convenient.;NoiseFit app: Connect with the NoiseFit app where your health data and privacy are always protected. Unlock your peak potential by participating in challenges, track your progress, and keep pushing your limits with a community of fitness enthusiasts.', 'Productivity suite- Maximise efficiency with minimal effort thanks to an assortment of features like voice assistance, calculator, weather, and music control.', 'Multiple straps and style options: Effortlessly switch between looks to complement every occasion.; What s in the box: The contents in the box include the ColorFit Twist Go smartwatch, a charging cable, and a user manual.', 'Target Gender: Unisex; Closure Type: Hidden Clasp; Warranty Type: 1 Year; Sport Type: Multi-Sports']","{""Brand"": ""Noise"", ""Manufacturer"": ""Nexxbase Marketing Pvt. Ltd"", ""Series"": ""NoiseFit"", ""Colour"": ""Gold Link"", ""Item Height"": ""10.5 Centimeters"", ""Item Width"": ""10.4 Centimeters"", ""Standing screen display size"": ""1.39 Inches"", ""Product Dimensions"": ""7.1 x 10.4 x 10.5 cm; 0.05 g"", ""Batteries"": ""1 Lithium Ion batteries required. (included)"", ""Item model number"": ""wrb-sw-twistgo-meshmtl-gld_gld"", ""Connectivity Type"": ""Bluetooth"", ""Wireless Type"": ""Bluetooth"", ""Wattage"": ""15 Watts"", ""Operating System"": ""Smartwatch"", ""Are Batteries Included"": ""Yes"", ""Lithium Battery Energy Content"": ""210 Milliampere Hour (mAh)"", ""Lithium Battery Weight"": ""35 Grams"", ""Number of Lithium Ion Cells"": ""1"", ""Number of Lithium Metal Cells"": ""1"", ""Included Components"": ""\u200eSmartwatch, Magnetic Charger, User Manual, Warranty Card"", ""Country of Origin"": ""India"", ""Item Weight"": ""0.05 g"", ""ASIN"": ""B0CQ4HSR2D"", ""Best Sellers Rank"": ""#180 in Electronics (See Top 100 in Electronics)   #7 in Smart Watches"", ""Date First Available"": ""21 February 2024"", ""Packer"": ""Nexxbase Marketing Pvt. Ltd, Khasra No-146/25/2/1, Jail Road Badshahpur, Gurugram Haryana-122101, 8882-132-132"", ""Importer"": ""Nexxbase Marketing Pvt. Ltd, Khasra No-146/25/2/1, Jail Road Badshahpur, Gurugram Haryana-122101, 8882-132-132"", ""Item Dimensions LxWxH"": ""7.1 x 10.4 x 10.5 Centimeters"", ""Net Quantity"": ""1 Piece"", ""Generic Name"": ""Smartwatch""}"
